job_fields,count
kinh doanh,25069
bán hàng,25069
,14209
chăm sóc khách hàng,13311
marketing,8486
ngân hàng,8081
bán hàng - kinh doanh,7457
tài chính,6962
kế toán,6923
kiểm toán,6378
hành chính,6300
bán sỉ,5635
bán lẻ,5635
xây dựng,5282
sản xuất,4612
văn phòng,4487
ô tô,4310
tự động hóa,4310
cơ khí,4310
điện,4149
điện lạnh,4149
điện tử,4149
bán sỉ - bán lẻ - quản lý cửa hàng,4052
tiếp thị,3979
lao động phổ thông,3516
quảng cáo,3435
truyền thông,3423
nhân sự,3388
dịch vụ khách hàng,3063
giáo dục,2927
đào tạo,2927
lắp ráp,2794
chế biến,2794
thiết kế,2666
xuất nhập khẩu,2561
tư vấn,2497
kho vận,2424
biên phiên dịch,2417
đầu tư,2416
pr,2305
nhà hàng,2202
khách sạn,2202
dược phẩm,2197
bất động sản,2191
kiến trúc,2118
cửa hàng,2073
y tế,2031
vận hành sản xuất,1816
thư ký,1813
it phần mềm,1768
hành chính - thư ký,1556
bảo hiểm,1552
tài chính - đầu tư - chứng khoán,1526
khoa học - kỹ thuật,1456
da giày,1445
dệt may,1445
chăm sóc sức khỏe,1384
làm đẹp,1329
báo chí,1324
truyền hình,1324
luật,1279
bảo trì,1241
nội thất,1227
du lịch,1155
đối ngoại,1130
tiếp thị trực tuyến,1117
thu mua,1115
thực phẩm & đồ uống,1093
quản lý điều hành,1077
nghệ thuật,1038
giao nhận,1003
vận chuyển,1003
thời trang,999
mỹ thuật,915
sửa chữa,909
cơ khí - ô tô - tự động hóa,894
điện công nghiệp,893
quản lý,882
điện - điện tử - điện lạnh,864
cntt - phần mềm,817
viễn thông,815
pháp chế,796
qc),775
quản lý chất lượng (qa,775
vận hành - bảo trì - bảo dưỡng,749
sản xuất - lắp ráp - chế biến,719
thu mua - kho vận - chuỗi cung ứng,711
thẩm mỹ,693
khách sạn - nhà hàng - du lịch,648
nghề nghiệp khác,639
spa,636
kiến trúc - thiết kế nội ngoại thất,592
mỹ phẩm,590
ngành khác,583
vật tư,578
y tế - chăm sóc sức khỏe,575
môi trường,568
nội ngoại thất,549
dự án,524
đấu thầu,524
biên tập,520
an toàn lao động,498
vận tải - lái xe - giao nhận,494
it phần cứng,492
bưu chính viễn thông,486
pháp lý,483
hóa mỹ phẩm,482
thông tin - truyền thông - quảng cáo,480
nông - lâm - ngư nghiệp,452
thực phẩm - đồ uống,450
mạng,431
cntt - phần cứng,431
mới tốt nghiệp,413
thực tập,413
nông,410
ngư nghiệp,410
lâm,410
quản lý dự án,383
kỹ thuật,370
khoa học,370
giáo dục - đào tạo,358
quản lý tiêu chuẩn và chất lượng,340
thiết kế - sáng tạo nghệ thuật,340
hoá sinh,335
bảo dưỡng,332
vận hành,332
it phần cứng - mạng,288
hóa học - hóa sinh,278
dệt may - da giày - thời trang,274
luật - pháp lý - tuân thủ,266
hóa học,262
in ấn,259
chăm sóc cá nhân,258
hàng gia dụng,258
công nghệ thực phẩm,256
dinh dưỡng,256
thương mại điện tử,211
công nghệ sinh học,199
tổ chức sự kiện,192
nông nghiệp,166
truyền hình - báo chí - biên tập,161
an ninh - bảo vệ,152
chế bản,135
thống kê,132
xuất bản,124
sáng tạo,123
chứng khoán,118
đồ gỗ,112
khai thác năng lượng - khoáng sản - địa chất,109
công nghệ thực phẩm - dinh dưỡng,102
giải trí,101
môi trường - xử lý chất thải,98
bán hàng kỹ thuật,92
thực tập sinh,90
hàng không,69
địa chất,69
bảo vệ,68
an ninh,68
thú y,65
chăn nuôi,65
hàng hải,64
hải sản,61
thủy sản,61
xuất bản - in ấn,54
phân tích - thống kê dữ liệu,50
mỏ,44
dầu khí,42
chăn nuôi - thú y,33
thủy lợi,32
lâm nghiệp,31
lao động phổ thông khác,27
trắc địa,25
khoáng sản,17
phi lợi nhuận,9
phi chính phủ,9
khách sạn & nhà hàng,6
thư viện,6
thương mại,6
error,3
